iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,gdp_per_capita
BOL,South America,Bolivia,2020-04-21,51.229,2.913,2.913,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-21,81.54,3.38,3.852,0.138,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-21,589.354,15.303,29.473,0.737,17643060,66.939,10581.936
PER,South America,Peru,2020-04-21,540.977,45.857,66.693,6.339,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-22,52.172,0.942,3.17,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-22,85.608,4.068,4.049,0.197,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-22,614.973,25.619,30.437,0.964,17643060,66.939,10581.936
PER,South America,Peru,2020-04-22,583.831,42.855,73.335,6.642,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-23,60.224,8.053,3.684,0.514,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-23,89.637,4.029,4.225,0.177,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-23,633.847,18.874,31.741,1.304,17643060,66.939,10581.936
PER,South America,Peru,2020-04-23,634.299,50.467,80.796,7.461,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-24,69.134,8.909,3.769,0.086,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-24,95.926,6.289,4.422,0.197,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-24,1287.702,653.855,32.647,0.907,17643060,66.939,10581.936
PER,South America,Peru,2020-04-24,656.56,22.261,88.257,7.461,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-25,74.188,5.054,3.941,0.171,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-25,101.056,5.129,4.579,0.157,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-25,1287.702,0,32.647,0,17643060,66.939,10581.936
PER,South America,Peru,2020-04-25,768.262,111.701,96.992,8.735,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-26,81.384,7.196,4.283,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-26,105.713,4.658,4.795,0.216,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-26,1287.702,0,32.647,0,17643060,66.939,10581.936
PER,South America,Peru,2020-04-26,834.56,66.299,105.787,8.795,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-27,86.867,5.483,4.54,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-27,109.998,4.284,4.972,0.177,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-27,1317.232,29.53,37.579,4.931,17643060,66.939,10581.936
PER,South America,Peru,2020-04-27,870.409,35.849,115.038,9.25,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-28,90.208,3.341,4.712,0.171,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-28,116.916,6.918,5.287,0.314,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-28,1374.932,57.7,49.368,11.789,17643060,66.939,10581.936
PER,South America,Peru,2020-04-28,945.959,75.549,124.53,9.493,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-29,95.091,4.883,5.054,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-29,121.986,5.07,5.464,0.177,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-29,1398.567,23.635,50.048,0.68,17643060,66.939,10581.936
PER,South America,Peru,2020-04-29,1029.09,83.132,134.964,10.433,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-04-30,99.974,4.883,5.311,0.257,11673029,10.202,6885.829
COL,South America,Colombia,2020-04-30,127.882,5.896,5.758,0.295,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-04-30,1413.247,14.68,51.012,0.964,17643060,66.939,10581.936
PER,South America,Peru,2020-04-30,1121.442,92.352,145.033,10.069,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-01,105.285,5.311,5.654,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-01,137.689,9.807,6.171,0.413,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-01,1492.712,79.465,60.25,9.239,17643060,66.939,10581.936
PER,South America,Peru,2020-05-01,1227.077,105.636,157.134,12.101,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-02,125.931,20.646,6.082,0.428,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-02,143.172,5.483,6.368,0.197,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-02,1556.646,63.934,77.708,17.457,17643060,66.939,10581.936
PER,South America,Peru,2020-05-02,1290.01,62.932,169.508,12.374,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-03,136.554,10.623,6.511,0.428,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-03,150.699,7.527,6.682,0.314,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-03,1674.199,117.553,88.647,10.939,17643060,66.939,10581.936
PER,South America,Peru,2020-05-03,1392.946,102.936,182.095,12.586,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-04,144.007,7.453,7.025,0.514,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-04,156.693,5.994,7.036,0.354,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-04,1806.999,132.8,88.93,0.283,17643060,66.939,10581.936
PER,South America,Peru,2020-05-04,1436.741,43.795,195.379,13.284,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-05,154.373,10.366,7.367,0.343,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-05,169.271,12.578,7.429,0.393,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-05,1806.999,0,88.93,0,17643060,66.939,10581.936
PER,South America,Peru,2020-05-05,1552.506,115.765,208.39,13.011,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-06,161.569,7.196,7.796,0.428,11673029,10.202,6885.829
COL,South America,Colombia,2020-05-06,176.071,6.8,7.802,0.373,50882884,44.223,13254.949
ECU,South America,Ecuador,2020-05-06,1806.999,0,91.707,2.777,17643060,66.939,10581.936
PER,South America,Peru,2020-05-06,1662.54,110.033,222.25,13.86,32971846,25.129,12236.706
BOL,South America,Bolivia,2020-05-07,178.274,16.705,8.738,0.942,11673029,10.202,6885.829
